numb,year,description_short,description_long,count
,1183,Исчезновение Городенского княжества из летописей после 1183 г.,Во 2-й четверти XIII века его территория вошла в состав Литовского княжества.,3
,1186,"Возникновение княжества Кукейнос, зависимого от Полоцка. Дата очень условно привязана к вокняжению в Полоцке князя Владимира, о существовании которого известно по Хронике Генриха Латвийского",,3
,1186,"Возникновение княжества Кукейнос, зависимого от Полоцка. Дата очень условно привязана к вокняжению в Полоцке князя Владимира, о существовании которого известно по Хронике Генриха Латвийского","<a href=""http://ostrog.ucoz.ru/publ/s/sergeev_o_i_chernavskaja_v_n_kazak_m_v/stadukhin_issledovatel_severo_vostoka_azii/160-1-0-270"" target=""_blank"">Казак М. В. Стадухин — исследователь северо-востока Азии</a><br />",3
,1190,Совместной порядок управления Торжка Новгородом и владимиро-суздальскими князьями,,1
,1190,Образование княжества Герцике на землях латгалов,"На территории балтской этнической группы, известной как ливы, возникает в конце XII в. возникает княжество Герцике, находящееся в вассальной зависимости от полоцких князей",2
,1199,В 1190-е годы граница отодвигается к югу от р. Рось в связи со строительством оборонительной линии против степняков.,,2
,1208,"Захват Кукейносского княжества епископом Риги, уход территории из сферы влияния Полоцка","Анадырский острог был поставлен С. И. Дежневым летом 1649 г. Первоначально казаки поставили зимовье, не имевшее укреплений. О его точном местоположении есть разные предположения. По мнению И. С. Вдовина (Вдовин И. С. Анадырский острог // Краевед. записки. Магадан, 1959. Вып. 2. С. 20–27), специально исследовавшего эту проблему, поселение было основано примерно в 18 км выше современного села Марково, в районе сел Солдатово и Оселкино, на одном из островов р. Анадырь. Некоторые исследователи считали, что его заложили на левом берегу Анадыря при впадении в него протоки Прорвы, выходящей из правого притока Анадыря р. Майн, причем не выше, а ниже, в 10–15 км от с. Марково.

<a href=""http://geoman.ru/books/item/f00/s00/z0000088/pic/map010.jpg"" target=""_blank"">«Чертеж вновь Камчадальские земли и моря». Служебная книга С. У. Ремезова (Гос. публичная библиотека им. М Е. Салтыкова Щедрина, Эрмитажное собрание, № 237, стр. 102)</a><br />",1
,1212,Разделение Владимирского княжества между сыновьями князя Всеволода Большое Гнездо,,1
,1212,Разделение Владимирского княжества между сыновьями князя Всеволода Большое Гнездо,,2
,1212,"В 1212 г. князь Владимир Полоцкий отказался от притязаний на земли в Прибалтике, потеряв княжества Герцике и Кукейнос","<a href=""http://ostrog.ucoz.ru/ostrogy/2_2.htm"" target=""_blank"">Иргенский острог</a><br />

<a href=""http://ostrog.ucoz.ru/ostrogy/2_16.htm"" target=""_blank"">Основание города Якутска</a><br />",2
,1224,"Захват Юрьева орденом меченосцев, основание Дорпатского епископства. Уход территории из-под контроля Новгорода","<a href=""http://ostrog.ucoz.ru/ist_doc_2/1_51.htm"" target=""_blank"">Отписка енисейского воеводы Афанасия Пашкова в Сибирский приказ о постройке Балаганского острога и о поселении пашенных крестьян и служилых людей</a><br />",2
,1227,Постепенное продвижение древнерусской промысловой колонизации на восток условно сопоставлено с моментом включения в новгородскую территорию корелы,"Переяславская рада (8(18) января 1654)
Переяславская рада – представительное собрание запорожских казаков в Переяславле, на котором было принято решение о вхождении Украины в состав России. Инициатором рады был Богдан Хмельницкий. 7 (17) января 1654 г. он встретился с главой российского посольства В. В. Бутурлиным. На следующий день, утром 8 (18) января, собралась старшинская рада. Руководители казачества единогласно высказались за соединение Украины и России. Днем того же дня собралась открытая рада. Богдан Хмельницкий выступил с речью, доказывающей необходимость присоединения к России в целях безопасности украинского народа и защиты его от польского гнета. После этого рада присягнула на верность царю Алексею Михайловичу. Условия договора были оформлены в виде «челобития великому государю» и отправлены в Москву. Первоначально они включали в себя 11 статей. В Москве украинское посольство добавило еще 11 статей, и одну статью добавила русская сторона. В итоге на рассмотрение Алексея Михайловича поступило 23 пункта договора. Договор был утвержден царем 14 марта 1654 г. 

<a href=""http://www.runivers.ru/doc/isl/index.php?SECTION_ID=5357&IBLOCK_ID=50&sphrase_id=50675"" target=""_blank"">Объединение Украины с Россией, подборка документов</a><br />

<a href=""https://upload.wikimedia.org/wikipedia/commons/6/6e/Bogdan_Chmelnitskiy%27s_letter_to_Alexis_I_of_Russia_%288_June_1648%2C_RGADA%29.jpg"" target=""_blank"">Письмо Гетмана Богдана Хмельницкого царю Алексею Михайловичу с сообщением о победах над польскими войсками и желании запорожских казаков вступить в русское подданство. Черкасы, 1648, 8 июня. РГАДА</a><br />",2
,1227,Распространение влияния Новгорода на земли води,,1
,1227,За условную дату включения корелы в территорию Руси принято дата крещения корелы,"1661 г., после 1 июля. Отписка Енисейскому воеводе Ивану Ржевскому сына боярского Якова Похабова о строении Иркутского острога:

«Государя царя и великого князя Алексея Михайловича, всеа Великия и Малыя и Белы России самодержца, воеводе Ивану Ивановичю Енисейской сын боярской Якунка Похабов челом бьет. В нынешнем во 169 году июля в 6 день против Иркута реки на Верхоленской стороне государев новый острог служилыми людьми ставлю, и башни и потолок срублены и государев житной анбар служилые люди рубят, а на анбаре будет башня, а острог не ставлен, потому что слег не достает, лесу близко нет, лес удалел от реки. А инде стало острогу поставить негде, а где ныне Бог позволил острог ставить, и тут место самое лутчее, угожее для пашни, и скотинной выпуск и сенные покосы и рыбные ловли все близко, а опроче того места острогу ставить негде, близ реки лесу нет, стали места степные и неугожие. А как Бог свершит наготово острог, и о том будет писано в Енисейской острог к воеводе Ивану Ивановичю».

Источник:

Дополнения к актам историческим, собранные и изданные Археографическою комиссиею. – СПб., 1851. Т. 4. С. 249–250.",1
,1238,Создание Галицко-Волынского княжества,"В 1239 году сыну Романа Мстиславича, Даниилу Романовичу удалось снова объединить Волынскую и Галицкую земли. С 1239 года Волынская земля составляла единое государство с Галицкой землей. ",1
,1238,"Упоминание князя Изяслава Новогрудского, удельное княжение. Степень зависимости территории от власти Рюриковичей неясна","<a href=""http://www.vostlit.info/Texts/Dokumenty/Mongol/Rus_mong_3/61-80/61.phtml?id=13632"" target=""_blank"">Первое упоминание «на усть Уды-реки ясачного зимовья» в отписке десятника енисейских казаков О. Васильева с товарищами в Сибирский приказ о постройке Селенгинского острога, о монгольских послах и Китайском государстве.</a><br />",1
,1238,Возвращение Дрогичинской волости в состав Галицко-Волынского княжества,"Андрусовское перемирие 30 января 1667 г.
Андрусовское перемирие заключено между Россией и Польшей по итогам русско-польской войны 1654–1667 гг. в деревне Андрусово (близ Смоленска). Срок действия перемирия – 13, 5 лет. Русскую делегацию на переговорах возглавлял А. Л. Ордин-Нащокин, польскую – Ю. Глебович. По условиям перемирия Россия возвращала себе Смоленск, Дорогобуж, Белую, Невель, Красный, Велиж, Северскую землю с Черниговом и Стародубом. Польша признавала вхождение Левобережной Украины в состав России. Киев должен был остаться за Россией до 1669 г. Фактически же так и остался за ней. Запорожская сечь переходила под совместное управление России и Польши.
Андрусовское перемирие явилось крупным дипломатическим успехом России. Оно обеспечило вхождение в ее состав Украины и Белоруссии и ограничило польскую агрессию на Востоке.

<a href=""http://www.runivers.ru/bookreader/book9809/#page/685/mode/1up"" target=""_blank"">Текст Андрусовского перемирия</a><br />",1
,1240,"Учреждение ""сместного"" (совместного) порядка управления в Волоке Новгородом и владимиро-суздальскими князьями. ",,1
,1240,"Учреждение ""сместного"" (совместного) порядка управления в Волоке Новгородом и владимиро-суздальскими князьями. ",,1
,1240,"Учреждение ""сместного"" (совместного) порядка управления в Волоке Новгородом и владимиро-суздальскими князьями. ","Весной 1697 г. Атласов во главе отряда из 120 человек (60 казаков и 60 юкагиров) на оленях прошел от Анадырского острога через Корякский хребет до Камчатки. Было обследовано восточное и западное побережье Камчатки. В центральной части Камчатки захвачены четыре корякских острожка, на реке Кануч поставлен памятный крест и на реке Камчатке заложен Верхнекамчатский острог. Маршрут экспедиции закончился на южной оконечности полуострова.
В 1700 г. Атласов вернулся в Якутск, откуда в 1701 г. был отправлен воеводой в Москву для представления отчета о камчатском походе. По пути, в Тобольске, он показал свои материалы С. У. Ремезову, составившему с его помощью один из детальных чертежей полуострова Камчатка. В Москве Атласов прожил с конца января по февраль 1701 г. и представил ряд «скасок», полностью или частично опубликованных несколько раз. Они содержали первые сведения о рельефе и климате Камчатки, о ее флоре и фауне, о морях, омывающих полуостров, и об их ледовом режиме. В «скасках» Атласов сообщил некоторые данные о Курильских островах, довольно обстоятельные известия о Японии и краткую информацию о «Большой Земле» (Северо-Западной Америке).

<a href=""http://ostrog.ucoz.ru/publikacii_2/4_64.htm"" target=""_blank"">«Скаски» Владимира Атласова</a><br />",1
,1240,"Учреждение ""сместного"" (совместного) порядка управления в Волоке Новгородом и владимиро-суздальскими князьями. ","Константинопольский мирный договор – договор между Россией и Турцией. Заключен 3 (13) июля 1700 г. в Константинополе. Договор закреплял русские завоевания в Азовских походах 1695–1696 гг. Русское посольство в Константинополь возглавил глава Посольского приказа Е. И. Украинцев.
По условиям договора за Россией оставалась турецкая крепость Азов, а также ряд вновь основанных на завоеванных территориях крепостей: Таганрог, Павловск и Миус. При этом Турции были возвращены некоторые занятые русскими войсками территории с мелкими крепостями. Они должны были быть уничтожены.
Также Россия и Турция брали на себя обязательство не строить в пограничной полосе никаких новых военный укреплений и не совершать вооруженных набегов на территории друг друга.
Турция освобождала русских пленных. Россия получала право открыть в Константинополе дипломатическое представительство на равных правах с другими державами. Россия была освобождена от уплаты дани крымскому хану.
Константинопольский мирный договор должен был обеспечить нейтралитет Турции в планируемой Россией войне со Швецией (см. Северная война).
Договор был заключен на 30 лет, однако в ноябре 1710 г. был нарушен турецким султаном, объявившим войну России

<a href=""http://www.runivers.ru/bookreader/book456128/#page/29/mode/1up"" target=""_blank"">Текст Константинопольского мирного договора</a><br />

<a href=""http://www.runivers.org/gal/gallery-all.php?SECTION_ID=7092&ELEMENT_ID=577820"" target=""_blank"">Настольная медаль «В память Константинопольского мирного договора»</a><br />",1
,1240,"Учреждение ""сместного"" (совместного) порядка управления в Волоке Новгородом и владимиро-суздальскими князьями. ","Ништадский мирный договор (30 августа (10 сентября) 1721)
Ништадский мирный договор – договор между Россией и Швецией, завершивший Северную войну 1700–1721 гг. Был заключен в городе Ништадт (ныне Уусикаупунки, Финляндия) 30 августа (10 сентября 1721 г.). Со стороны России договор был подписан Я. В. Брюсом и А. И. Остерманом, со стороны Швеции – Ю. Лилльенстедтом и О. Стрёмфельдом.
До подписания этого договора граница между Россией и Швецией определялась Столбовским мирным договором 1617 г. Ништадским миром за Россией были закреплены обширные территории, ранее принадлежавшие Швеции: часть Карелии с Кексгольмом к северу от Ладожского озера, Ингерманладия (Ижорская земля), часть Эстляндии с Ревелем и Нарвой, часть Лифляндии с Ригой, острова Эзель и Даго. Россия за приобретенные земли должна была выплатить Швеции денежную компенсацию в размере около полутора млн рублей, а также вернуть б?льшую часть занятой русскими войсками Финляндии. Восстанавливались торговые отношения между двумя странами: Швеции получала право ежегодно вывозить из России на 50 000 руб. хлеба без уплаты пошлин. Договор предусматривал обмен пленными и амнистию преступникам и перебежчикам, кроме казаков И. Мазепы. Дворянство перешедших к России территорий сохраняло свои привилегии, самоуправление и вероисповедание.
Таким образом, Россия закрепила выход в Балтийское море. В ознаменование заключения Ништадского мира 22 октября (2 ноября) 1721 г. Петр I по прошению Сената принял титул Отца Отечества, Императора Всероссийского, а также Петра Великого.

<a href=""http://www.runivers.ru/bookreader/book9814/#page/422/mode/1up"" target=""_blank"">Текст Ништадского мирного договора</a><br />

<a href=""http://raritety.rusarchives.ru/dokumenty/relyaciya-o-zaklyuchenii-mira-so-shveciey-s-opisaniem-torzhestva-podneseniya-i-prinyatiya-gosudarem"" target=""_blank"">Реляция о заключении мира со Швецией с описанием торжества поднесения и принятия государем титула «Отца Отечества, Императора Всероссийского Петра Великого»</a><br />

<a href=""http://www.runivers.ru/mp/maps-detail.php?ID=466744&SECTION_ID="" target=""_blank"">Территориальные изменения по Ништадскому мирному договору 30 августа 1721 г.</a><br />",1
,1240,"Учреждение ""сместного"" (совместного) порядка управления в Волоке Новгородом и владимиро-суздальскими князьями. ","Первая русская крепость на территории края была построена в июне 1709 г. на правом берегу Бии. В качестве гарнизона «в том остроге оставлено для оберегательства от приходу воинских людей служилых людей 100 человек». Однако летом следующего 1710 г. Бикатунский острог подвергся нападению джунгар и был сожжен.

<a href=""http://library.altspu.ru/althistory/documents/RU%5cASPA%5cALTHISTORY%5c341"" target=""_blank"">1708 г. февраля 29. – Распоряжение князя М. П. Гагарина дьякам Сибирского приказа подготовить и послать кузнецкому стольнику и воеводе Михаилу Овцыну государеву грамоту с приказом о строительстве острога «на реках Бии и Катуни»</a><br />
Российский государственный архив древних актов. Ф. 214 (Сибирский приказ). Оп. 5. Д. 1265. Л. 8–9.

<a href=""http://library.altspu.ru/althistory/documents/RU%5cASPA%5cALTHISTORY%5c342"" target=""_blank"">1708 г. марта 5. – Государева грамота из Сибирского приказа кузнецкому воеводе М. Овцыну о строительстве острога на Бии и Катуни. </a><br />
Российский государственный архив древних актов. Ф. 214 (Сибирский приказ). Оп. 5. Д. 1265. Л. 10–11.

<a href=""http://library.altspu.ru/althistory/documents/RU%5cASPA%5cALTHISTORY%5c344"" target=""_blank"">1709 г. после 23 августа. – Сообщение из Кузнецкого острога о сооружении Бикатунского острога и отражении набега ойратских подданных на Кузнецк с указанием фамилий российских служилых, участвовавших в бою.</a><br />
 Российский государственный архив древних актов. Ф.214 (Сибирский приказ). Оп. 5. Д. 1660. Л. 1–9.",1
,1240,Разгром русских княжеств монголами,"В течение 1240-1250-х гг. произошло оформление системы зависимости русских земель от Орды. Она выражалась, во-первых, в выдаче ханами (на Руси их титуловали «царями», т. е. императорским титулом) русским князьям грамот – ярлыков на их княжения, во-вторых, в выплате в Орду ежегодной дани – выхода (для установления ее размера в русских землях была проведена перепись населения), в-третьих, в обязанности князей оказывать Орде военную помощь.",1
,1240,Разгром русских княжеств монголами,"В течение 1240-1250-х гг. произошло оформление системы зависимости русских земель от Орды. Она выражалась, во-первых, в выдаче ханами (на Руси их титуловали «царями», т. е. императорским титулом) русским князьям грамот – ярлыков на их княжения, во-вторых, в выплате в Орду ежегодной дани – выхода (для установления ее размера в русских землях была проведена перепись населения), в-третьих, в обязанности князей оказывать Орде военную помощь.",1
,1240,Разгром русских княжеств монголами,"В течение 1240-1250-х гг. произошло оформление системы зависимости русских земель от Орды. Она выражалась, во-первых, в выдаче ханами (на Руси их титуловали «царями», т. е. императорским титулом) русским князьям грамот – ярлыков на их княжения, во-вторых, в выплате в Орду ежегодной дани – выхода (для установления ее размера в русских землях была проведена перепись населения), в-третьих, в обязанности князей оказывать Орде военную помощь.",3
,1240,Разгром русских княжеств монголами,"В течение 1240-1250-х гг. произошло оформление системы зависимости русских земель от Орды. Она выражалась, во-первых, в выдаче ханами (на Руси их титуловали «царями», т. е. императорским титулом) русским князьям грамот – ярлыков на их княжения, во-вторых, в выплате в Орду ежегодной дани – выхода (для установления ее размера в русских землях была проведена перепись населения), в-третьих, в обязанности князей оказывать Орде военную помощь.",3
,1240,Разгром русских княжеств монголами,"В течение 1240-1250-х гг. произошло оформление системы зависимости русских земель от Орды. Она выражалась, во-первых, в выдаче ханами (на Руси их титуловали «царями», т. е. императорским титулом) русским князьям грамот – ярлыков на их княжения, во-вторых, в выплате в Орду ежегодной дани – выхода (для установления ее размера в русских землях была проведена перепись населения), в-третьих, в обязанности князей оказывать Орде военную помощь.",3
,1241,"Успешный поход новгородцев и князя Александра Невского в землю води, включение этой территории в Новгородскую землю","Петербургский договор 1723 г. – мирный договор между Россией и Персией, подписанный 12 сентября 1723 г. по итогам Персидского похода 1722–1723 гг. По его условиям Россия получала Дербент, Баку, провинции Ширван, Гилен, Мазедеран, Астарабад, а также западное и южное побережье Каспийского моря. Особой статьей предусматривался оборонительный союз обеих сторон против Турции.

<a href=""http://www.runivers.ru/bookreader/book456128/#page/213/mode/1up"" target=""_blank"">Текст Петербургского договора</a><br />",1
,1246,Образование Брянского княжества,Брянское княжество выделилось из Черниговской земли после гибели в 1246 году Михаила Всеволодовича.,1
,1246,Выделение Верховских княжеств,Формальное начало образования Верховских княжеств было положено разделом Черниговского княжества после смерти князя Михаила Всеволодовича между его сыновьями.,1
,1246,Выделение Верховских княжеств,Формальное начало образования Верховских княжеств было положено разделом Черниговского княжества после смерти князя Михаила Всеволодовича между его сыновьями.,3
,1247,Выделение Галицко-Дмитровского княжества из Великого княжества Владимирского,Галицко-Дмитровское княжество выделилось в 1247г. по смерти великого князя Ярослава Всеволодича. Около 1280 года два сына Давыда Константиновича стали править разными частями его владений; их отдаленность друг от друга способствовала обособлению Галицкого и Дмитровского княжеств. Галицкое княжество в 1330-е гг.вошло в состав Владимирского великого княжества как «купля» Ивана Калиты. Дмитровское княжество вошло в состав Владимирского великого княжества в 1336 г. – по ханскому ярлыку. ,3
,1250,Присоединение Новогрудского княжества к Великому княжеству Литовскому,"Первыми европейцами, увидевшими берега Аляски, были участники экспедиции Семена Дежнева в 1648 г. Для проверки информации Дежнева Петр I организовал экспедицию Витуса Беринга и Алексея Чирикова, чтобы окончательно удостовериться, соединена Азия с Америкой или нет. В 1741 г. вторая экспедиция Беринга и Чирикова подробно обследовала и нанесла на карту побережье Аляски и Алеутские острова.",3
,1253,Дата коронации великого князя Миндовга условно принята как момент оформления границ Великого княжества Литовского,"Белградский мирный договор (18/29 сентября 1739 г.)
Договор между Россией и Турцией был подписан по итогам русско-турецкой войны 1735–1739 гг. Посредником на переговорах был французский посол в Константинополе маркиз де Вильнёв. По условиям договора России возвращался Азов без права его военного укрепления. Россия получала право строительства крепости на острове Черкаске на Дону, Турция – в устье Кубани. России запрещалось иметь флот на Черном и Азовском морях. Торговля на Черном море могла вестись только на турецких судах. Между Россий и Турцией устанавливалась буферная зона – Большая и Малая Кабарда.
Условия Белградского мира не отвечали ни интересам России, ни ее успехам в войне. Само подписание мира носило явно преждевременный характер и стало следствием подписания сепаратного мира между Австрией, союзницей России в этой войне, и Турцией 21 августа/1 сентября 1739 г. Кроме того, назревала война со Швецией. Эти обстоятельства и обусловили дипломатическое поражение России после победоносной войны.

<a href=""http://www.runivers.ru/bookreader/book456128/#page/43/mode/1up"" target=""_blank"">Текст Белградского мирного договора</a><br />",1
,1263,Захват Литовским орденом правобережья Западной Двины,"<a href=""https://coollib.net/i/60/39960/zahalak3.png"" target=""_blank"">Схема санных маршрутов отряда Х. Лаптева на Таймыре</a><br />
Из книги В. А. Троицкий «Записки Харитона Лаптева»",2
,1275,"Разорение Курского княжества во время похода ордынцев на Великое княжество Литовское, зона совместного использования русскими и ордынцами","4 июня 1741 г. пакетботы «Святой Петр» и «Святой Павел» Второй Камчатской экспедиции под командованием Витуса Беринга и Алексея Чирикова вышли в плавание к берегам Америки на поиски мифической земли Хуана де Гама. Выяснив, что ее не существует, «Святой Петр» совершил плавание к западным берегам Америки. На обратном пути 7 ноября 1741 г. экипаж судна высадился на необитаемый остров для зимовки, во время которой скончался Витус Беринг. Этот остров был назван островом Беринга. Остров Медный, второй из четырех Командорских островов, был открыт промышленником Емельяном Басовым в 1743 г.

<a href=""http://www.runivers.ru/maps/russatlas/34/"" target=""_blank"">Атлас Российский, состоящий из девятнадцати специальных карт, представляющих Всероссийскую империю с пограничными землями. 1745 г. Генеральная карта Российской империи</a><br />


<a href=""http://www.runivers.ru/bookreader/book9816/#page/735/mode/1up"" target=""_blank"">Указ Анны Иоанновны №6023. Апреля 17, 1732 г. Именной, данный Сенату «Об отправлении капитан-командора Беринга в Камчатку»</a><br />

<a href=""http://www.runivers.ru/bookreader/book9816/#page/756/mode/1up"" target=""_blank"">Указ Анны Иоанновны №6023. Апреля 17, 1732 г. Именной, данный Сенату «Об отправлении капитан-командора Беринга в Камчатку»</a><br />

<a href=""http://www.runivers.ru/bookreader/book9816/#page/759/mode/1up"" target=""_blank"">Указ Анны Иоанновны №6042. Мая 2, 1732 г. Сенатский «Об отправлении капитан-командора Беринга на морских судах для проведывания новых земель, лежащих между Америкою и Камчаткою»</a><br />

<a href=""http://www.runivers.ru/bookreader/book9816/#page/988/mode/1up"" target=""_blank"">Указ Анны Иоанновны №6291. Декабря 28, 1732 г. Высочайшее утверждение правила, данные капитан-командору Берингу, относительно плавания его в Восточном океане</a><br />",2
,1300,Переход от Рязани к Москве Коломны и Лопастенских мест,"Абоский договор подписан между Россией и Швецией в г. Або (Финляндия) 18/30 августа 1812 г. С русской стороны договор подписал Н. П. Румянцев, со шведской – К. Левенгельм. Договор представляет собой секретное соглашение, дополняющее Петербургский союзный договор 34 марта / 5 апреля 1812 г. Стороны выражали желание «еще более укрепить счастливое согласие» в отношениях между ними. Александр I обещал оказать военную помощь Швеции против Дании и давал согласие на присоединение к Швеции датского острова Зеландии. Шведский принц Карл-Юхан (Бернадот) со своей стороны не возражал против присоединения к России части герцогства Варшавского (до Вислы). Россия предоставляла Швеции заем в 1,5 млн руб. Обе стороны приглашали Англию присоединиться к данному договору. Секретная статья содержала взаимные обязательства предоставить 12–15 тыс. человек в случае нападения на одну из сторон третьей стороны. Абоский договор значительно укрепил русско-шведские отношения. Швеция отказывалась от претензий на Финляндию и Аландские острова, а Россия способствовала укреплению на шведском престоле новой династии Бернадотов. 

<a href=""http://www.runivers.ru/bookreader/book9819/#page/864/mode/1up"" target=""_blank"">Текст Абоского мира</a><br />

<a href=""https://histdoc.net/nystad/abo1743.html"" target=""_blank"">Текст Абоского мира (на шведском языке)</a><br />

<a href=""http://www.runivers.ru/mp/maps-detail.php?ID=469520&SECTION_ID=8212
"" target=""_blank"">Карта Финляндии с указанием границ России и Швеции в разное время по договорам, а также по картам генерального штаба, Гермелина, Лоттера, Аф-Кнорринга и других</a><br />",1
,1306,Присоединение к Великому княжеству Литовскому Полоцка,,1
,1316,Присоединение к к Великому княжеству Литовскому Берестейской земли,,3
,1320,Присоединение к к Великому княжеству Литовскому Витебской и Торопецкой земель,"После открытия Ляховым острова на его обследование отправился землемер Хвойнов. На берегу острова он увидел медный котел, оставленный спутниками Ляхова. Хвойнов обмерил остров, описал его и назвал Котельным. С той поры и сохранилось это название.
Ранее Ляхов, в 1770 г., обнаружил Новосибирские острова. Сообщив о своем открытии в Петербург, он просил разрешить ему монопольный промысел на островах. Такое право ему было предоставлено указом Екатерины II, причем два острова императрица распорядилась называть Ляховскими (соответственно «Большим» и «Малым»).",3
,1323,Ореховский договор,"Ореховский договор - первый мирный договор об установлении границ между Новгородской республикой и Шведским королевством. По нему западная часть Карельского перешейка и соседняя с ней область Саволакс отошли к Шведскому королевству, восточная часть перешейка с Корелой (сейчас Приозерск) осталась в составе Новгородской земли. Впервые официально была установлена государственная граница между Шведским королевством и Новгородской республикой, проходившая от Финского залива по реке Сестре, на севере до озера Сайма и затем на северо-западе до берега Каяна моря.",3
